Frequency_Hz,PSD
-7602539.062,1.376766521e-08
-7597656.25,1.397202223e-08
-7592773.438,1.431308657e-08
-7587890.625,1.408282247e-08
-7583007.812,1.418379207e-08
-7578125,1.387178779e-08
-7573242.188,1.386192704e-08
-7568359.375,1.385363172e-08
-7563476.562,1.39065254e-08
-7558593.75,1.399754261e-08
-7553710.938,1.386951808e-08
-7548828.125,1.399543022e-08
-7543945.312,1.411142507e-08
-7539062.5,1.424954292e-08
-7534179.688,1.433721396e-08
-7529296.875,1.426701711e-08
-7524414.062,1.405728827e-08
-7519531.25,1.41926241e-08
-7514648.438,1.41924438e-08
-7509765.625,1.436886481e-08
-7504882.812,1.436068125e-08
-7500000,1.443388387e-08
-7495117.188,1.411622891e-08
-7490234.375,1.425601816e-08
-7485351.562,1.425494564e-08
-7480468.75,1.41274395e-08
-7475585.938,1.393297723e-08
-7470703.125,1.386939142e-08
-7465820.312,1.380379104e-08
-7460937.5,1.408301535e-08
-7456054.688,1.427478525e-08
-7451171.875,1.421783823e-08
-7446289.062,1.42151478e-08
-7441406.25,1.425820439e-08
-7436523.438,1.426643334e-08
-7431640.625,1.429928871e-08
-7426757.812,1.386927492e-08
-7421875,1.411529797e-08
-7416992.188,1.423252849e-08
-7412109.375,1.408699297e-08
-7407226.562,1.422734621e-08
-7402343.75,1.404790492e-08
-7397460.938,1.405587946e-08
-7392578.125,1.403584147e-08
-7387695.312,1.402381304e-08
-7382812.5,1.422903881e-08
-7377929.688,1.445185268e-08
-7373046.875,1.425278836e-08
-7368164.062,1.396916506e-08
-7363281.25,1.405453155e-08
-7358398.438,1.425034683e-08
-7353515.625,1.423688161e-08
-7348632.812,1.421348974e-08
-7343750,1.383036465e-08
-7338867.188,1.394877735e-08
-7333984.375,1.388354793e-08
-7329101.562,1.373129116e-08
-7324218.75,1.383496529e-08
-7319335.938,1.407371292e-08
-7314453.125,1.390205088e-08
-7309570.312,1.390059309e-08
-7304687.5,1.391620856e-08
-7299804.688,1.387774518e-08
-7294921.875,1.366453146e-08
-7290039.062,1.393217898e-08
-7285156.25,1.43072822e-08
-7280273.438,1.444737856e-08
-7275390.625,1.42053172e-08
-7270507.812,1.387615718e-08
-7265625,1.36222366e-08
-7260742.188,1.365571904e-08
-7255859.375,1.35409678e-08
-7250976.562,1.396028228e-08
-7246093.75,1.415501506e-08
-7241210.938,1.47216243e-08
-7236328.125,1.397548438e-08
-7231445.312,1.35819016e-08
-7226562.5,1.400287383e-08
-7221679.688,1.397821233e-08
-7216796.875,1.386676166e-08
-7211914.062,1.417261609e-08
-7207031.25,1.399854698e-08
-7202148.438,1.399734076e-08
-7197265.625,1.414962884e-08
-7192382.812,1.434604231e-08
-7187500,1.408993479e-08
-7182617.188,1.386624454e-08
-7177734.375,1.397207779e-08
-7172851.562,1.397868021e-08
-7167968.75,1.374147027e-08
-7163085.938,1.378002228e-08
-7158203.125,1.377913622e-08
-7153320.312,1.389633618e-08
-7148437.5,1.41190038e-08
-7143554.688,1.387108147e-08
-7138671.875,1.386794587e-08
-7133789.062,1.391953786e-08
-7128906.25,1.427518089e-08
-7124023.438,1.413147423e-08
-7119140.625,1.408255389e-08
-7114257.812,1.400417645e-08
-7109375,1.370680894e-08
-7104492.188,1.379227959e-08
-7099609.375,1.396268297e-08
-7094726.562,1.403750819e-08
-7089843.75,1.411845114e-08
-7084960.938,1.422572157e-08
-7080078.125,1.370347312e-08
-7075195.312,1.37200185e-08
-7070312.5,1.398476598e-08
-7065429.688,1.389995543e-08
-7060546.875,1.406636541e-08
-7055664.062,1.389094162e-08
-7050781.25,1.388909263e-08
-7045898.438,1.398212646e-08
-7041015.625,1.381493152e-08
-7036132.812,1.390270101e-08
-7031250,1.408455429e-08
-7026367.188,1.396898537e-08
-7021484.375,1.402798718e-08
-7016601.562,1.410850517e-08
-7011718.75,1.415535647e-08
-7006835.938,1.398003593e-08
-7001953.125,1.390638354e-08
-6997070.312,1.396159226e-08
-6992187.5,1.393045083e-08
-6987304.688,1.418242473e-08
-6982421.875,1.447701734e-08
-6977539.062,1.480608369e-08
-6972656.25,1.681589263e-08
-6967773.438,2.171139367e-08
-6962890.625,2.944757092e-08
-6958007.812,3.403181882e-08
-6953125,3.025375308e-08
-6948242.188,2.253669288e-08
-6943359.375,1.71694972e-08
-6938476.562,1.523226663e-08
-6933593.75,1.470592788e-08
-6928710.938,1.414506312e-08
-6923828.125,1.403492385e-08
-6918945.312,1.395527221e-08
-6914062.5,1.395389667e-08
-6909179.688,1.3970738e-08
-6904296.875,1.385675065e-08
-6899414.062,1.417898955e-08
-6894531.25,1.406020849e-08
-6889648.438,1.402446414e-08
-6884765.625,1.404235525e-08
-6879882.812,1.397780868e-08
-6875000,1.403335199e-08
-6870117.188,1.41776062e-08
-6865234.375,1.39239678e-08
-6860351.562,1.388144045e-08
-6855468.75,1.408906444e-08
-6850585.938,1.402984152e-08
-6845703.125,1.359009458e-08
-6840820.312,1.391779278e-08
-6835937.5,1.415669414e-08
-6831054.688,1.426615276e-08
-6826171.875,1.408900975e-08
-6821289.062,1.375517118e-08
-6816406.25,1.369838755e-08
-6811523.438,1.379662412e-08
-6806640.625,1.396880916e-08
-6801757.812,1.380170662e-08
-6796875,1.400496789e-08
-6791992.188,1.387467428e-08
-6787109.375,1.358909751e-08
-6782226.562,1.381130203e-08
-6777343.75,1.42493921e-08
-6772460.938,1.430259877e-08
-6767578.125,1.406514907e-08
-6762695.312,1.390857352e-08
-6757812.5,1.403645416e-08
-6752929.688,1.418999692e-08
-6748046.875,1.385133703e-08
-6743164.062,1.390495581e-08
-6738281.25,1.414238995e-08
-6733398.438,1.43288286e-08
-6728515.625,1.392290199e-08
-6723632.812,1.372434081e-08
-6718750,1.38287762e-08
-6713867.188,1.391785145e-08
-6708984.375,1.384537005e-08
-6704101.562,1.397239585e-08
-6699218.75,1.379826647e-08
-6694335.938,1.37570124e-08
-6689453.125,1.392566306e-08
-6684570.312,1.418830546e-08
-6679687.5,1.382820589e-08
-6674804.688,1.386249427e-08
-6669921.875,1.407538449e-08
-6665039.062,1.380924592e-08
-6660156.25,1.37580385e-08
-6655273.438,1.367707305e-08
-6650390.625,1.374564252e-08
-6645507.812,1.398568183e-08
-6640625,1.374504757e-08
-6635742.188,1.348791238e-08
-6630859.375,1.346942408e-08
-6625976.562,1.382998538e-08
-6621093.75,1.405089941e-08
-6616210.938,1.385394562e-08
-6611328.125,1.419277131e-08
-6606445.312,1.392467849e-08
-6601562.5,1.384363648e-08
-6596679.688,1.42359931e-08
-6591796.875,1.463074585e-08
-6586914.062,1.410302542e-08
-6582031.25,1.363059996e-08
-6577148.438,1.342411853e-08
-6572265.625,1.38964916e-08
-6567382.812,1.380724018e-08
-6562500,1.382822729e-08
-6557617.188,1.354743359e-08
-6552734.375,1.375426002e-08
-6547851.562,1.380384458e-08
-6542968.75,1.384902487e-08
-6538085.938,1.404457833e-08
-6533203.125,1.404040088e-08
-6528320.312,1.392471807e-08
-6523437.5,1.395716115e-08
-6518554.688,1.392823075e-08
-6513671.875,1.391166183e-08
-6508789.062,1.40265208e-08
-6503906.25,1.422136347e-08
-6499023.438,1.413109094e-08
-6494140.625,1.384516793e-08
-6489257.812,1.411673479e-08
-6484375,1.40757377e-08
-6479492.188,1.38223663e-08
-6474609.375,1.382106402e-08
-6469726.562,1.403719013e-08
-6464843.75,1.39369467e-08
-6459960.938,1.407496403e-08
-6455078.125,1.396119053e-08
-6450195.312,1.407964872e-08
-6445312.5,1.392412597e-08
-6440429.688,1.389641313e-08
-6435546.875,1.370909308e-08
-6430664.062,1.385402899e-08
-6425781.25,1.394911143e-08
-6420898.438,1.411842935e-08
-6416015.625,1.382713236e-08
-6411132.812,1.364205852e-08
-6406250,1.375632972e-08
-6401367.188,1.363414457e-08
-6396484.375,1.396250559e-08
-6391601.562,1.416978032e-08
-6386718.75,1.423081825e-08
-6381835.938,1.429827473e-08
-6376953.125,1.445052238e-08
-6372070.312,1.445144223e-08
-6367187.5,1.476794961e-08
-6362304.688,1.490909261e-08
-6357421.875,1.488553798e-08
-6352539.062,1.501929628e-08
-6347656.25,1.536732235e-08
-6342773.438,1.599010921e-08
-6337890.625,1.649281035e-08
-6333007.812,1.729436151e-08
-6328125,1.823272552e-08
-6323242.188,1.918209315e-08
-6318359.375,2.026806524e-08
-6313476.562,2.19218984e-08
-6308593.75,2.422856548e-08
-6303710.938,2.600278243e-08
-6298828.125,2.803447508e-08
-6293945.312,2.937098271e-08
-6289062.5,2.901925566e-08
-6284179.688,2.911879739e-08
-6279296.875,2.840759471e-08
-6274414.062,2.694617251e-08
-6269531.25,2.524837849e-08
-6264648.438,2.203668807e-08
-6259765.625,1.928080064e-08
-6254882.812,1.715151114e-08
-6250000,1.573599672e-08
-6245117.188,1.511910805e-08
-6240234.375,1.466507129e-08
-6235351.562,1.447591898e-08
-6230468.75,1.468718397e-08
-6225585.938,1.430145489e-08
-6220703.125,1.401694941e-08
-6215820.312,1.437723092e-08
-6210937.5,1.397992996e-08
-6206054.688,1.360932148e-08
-6201171.875,1.379010627e-08
-6196289.062,1.401991392e-08
-6191406.25,1.397670446e-08
-6186523.438,1.389918121e-08
-6181640.625,1.385505716e-08
-6176757.812,1.379029688e-08
-6171875,1.351489386e-08
-6166992.188,1.378656938e-08
-6162109.375,1.38349217e-08
-6157226.562,1.400514819e-08
-6152343.75,1.388347865e-08
-6147460.938,1.358064768e-08
-6142578.125,1.345680431e-08
-6137695.312,1.365906504e-08
-6132812.5,1.396283744e-08
-6127929.688,1.397313684e-08
-6123046.875,1.3857311e-08
-6118164.062,1.392485234e-08
-6113281.25,1.405081489e-08
-6108398.438,1.395875451e-08
-6103515.625,1.42992641e-08
-6098632.812,1.377770309e-08
-6093750,1.379825212e-08
-6088867.188,1.379687051e-08
-6083984.375,1.39617038e-08
-6079101.562,1.37342838e-08
-6074218.75,1.375517453e-08
-6069335.938,1.420588303e-08
-6064453.125,1.390982326e-08
-6059570.312,1.38063759e-08
-6054687.5,1.366639435e-08
-6049804.688,1.38986199e-08
-6044921.875,1.398585125e-08
-6040039.062,1.426986891e-08
-6035156.25,1.394522284e-08
-6030273.438,1.386701333e-08
-6025390.625,1.395193285e-08
-6020507.812,1.384898303e-08
-6015625,1.372836267e-08
-6010742.188,1.375796027e-08
-6005859.375,1.375597352e-08
-6000976.562,1.379114177e-08
-5996093.75,1.404994269e-08
-5991210.938,1.40212537e-08
-5986328.125,1.401491984e-08
-5981445.312,1.381864743e-08
-5976562.5,1.386514772e-08
-5971679.688,1.382948238e-08
-5966796.875,1.386344452e-08
-5961914.062,1.382762311e-08
-5957031.25,1.402823114e-08
-5952148.438,1.354094716e-08
-5947265.625,1.382826295e-08
-5942382.812,1.386600038e-08
-5937500,1.378536497e-08
-5932617.188,1.397496918e-08
-5927734.375,1.390209746e-08
-5922851.562,1.370413378e-08
-5917968.75,1.368995057e-08
-5913085.938,1.396216844e-08
-5908203.125,1.395824554e-08
-5903320.312,1.418430694e-08
-5898437.5,1.477221964e-08
-5893554.688,1.386838126e-08
-5888671.875,1.39356162e-08
-5883789.062,1.401594244e-08
-5878906.25,1.412015124e-08
-5874023.438,1.382187173e-08
-5869140.625,1.378593146e-08
-5864257.812,1.377677989e-08
-5859375,1.38705078e-08
-5854492.188,1.391110231e-08
-5849609.375,1.388239564e-08
-5844726.562,1.391516666e-08
-5839843.75,1.404607768e-08
-5834960.938,1.390525954e-08
-5830078.125,1.381076667e-08
-5825195.312,1.374629896e-08
-5820312.5,1.386830208e-08
-5815429.688,1.403177533e-08
-5810546.875,1.393487529e-08
-5805664.062,1.417457529e-08
-5800781.25,1.420737808e-08
-5795898.438,1.421170625e-08
