Frequency_Hz,PSD
89298828.12,3.099445017e-08
89302246.09,3.180084199e-08
89305664.06,3.13912844e-08
89309082.03,3.19457143e-08
89312500,3.276771683e-08
89315917.97,3.194621863e-08
89319335.94,3.227402537e-08
89322753.91,3.243730032e-08
89326171.88,3.223831324e-08
89329589.84,3.223823962e-08
89333007.81,3.265338236e-08
89336425.78,3.217103728e-08
89339843.75,3.164965133e-08
89343261.72,3.42090997e-08
89346679.69,3.550706788e-08
89350097.66,3.300004749e-08
89353515.62,3.252316176e-08
89356933.59,3.206417869e-08
89360351.56,3.073005323e-08
89363769.53,3.180232252e-08
89367187.5,3.20550215e-08
89370605.47,3.19533472e-08
89374023.44,3.16216971e-08
89377441.41,3.109077283e-08
89380859.38,3.120839782e-08
89384277.34,3.061779739e-08
89387695.31,3.090023833e-08
89391113.28,3.160991378e-08
89394531.25,3.115961795e-08
89397949.22,3.329736987e-08
89401367.19,3.533153025e-08
89404785.16,3.321311561e-08
89408203.12,3.128611007e-08
89411621.09,3.16641911e-08
89415039.06,3.181737418e-08
89418457.03,3.137282635e-08
89421875,3.082222694e-08
89425292.97,3.134122277e-08
89428710.94,3.127428119e-08
89432128.91,3.190998365e-08
89435546.88,3.221513341e-08
89438964.84,3.086399623e-08
89442382.81,3.081504783e-08
89445800.78,3.242076398e-08
89449218.75,3.178133828e-08
89452636.72,3.147691778e-08
89456054.69,3.440360955e-08
89459472.66,3.452054253e-08
89462890.62,3.356430079e-08
89466308.59,3.358319121e-08
89469726.56,3.412162388e-08
89473144.53,3.386569972e-08
89476562.5,3.412482745e-08
89479980.47,3.510749793e-08
89483398.44,3.4661518e-08
89486816.41,3.334475247e-08
89490234.38,3.370805143e-08
89493652.34,3.47642558e-08
89497070.31,3.549073287e-08
89500488.28,3.736603617e-08
89503906.25,3.806564368e-08
89507324.22,3.801958352e-08
89510742.19,4.293539457e-08
89514160.16,4.587827488e-08
89517578.12,4.574643765e-08
89520996.09,4.472145223e-08
89524414.06,5.021891215e-08
89527832.03,5.511261451e-08
89531250,5.696479229e-08
89534667.97,5.968379251e-08
89538085.94,6.237343929e-08
89541503.91,6.869651414e-08
89544921.88,7.370924377e-08
89548339.84,7.991167388e-08
89551757.81,8.513935381e-08
89555175.78,8.990938427e-08
89558593.75,9.707537202e-08
89562011.72,9.800249665e-08
89565429.69,9.77176322e-08
89568847.66,1.016740154e-07
89572265.62,1.00422275e-07
89575683.59,1.024564553e-07
89579101.56,1.186874706e-07
89582519.53,1.334454397e-07
89585937.5,1.453458408e-07
89589355.47,1.602626755e-07
89592773.44,1.813782781e-07
89596191.41,2.03913364e-07
89599609.38,2.204460571e-07
89603027.34,2.485488666e-07
89606445.31,2.863000575e-07
89609863.28,3.111853545e-07
89613281.25,3.501559005e-07
89616699.22,3.67417093e-07
89620117.19,3.845559995e-07
89623535.16,4.138699751e-07
89626953.12,4.453995256e-07
89630371.09,4.663953108e-07
89633789.06,5.008233338e-07
89637207.03,5.422517215e-07
89640625,5.758815716e-07
89644042.97,6.408852415e-07
89647460.94,6.949742689e-07
89650878.91,7.366952968e-07
89654296.88,7.881987823e-07
89657714.84,7.979103903e-07
89661132.81,8.134581599e-07
89664550.78,8.253738758e-07
89667968.75,8.695088392e-07
89671386.72,9.338561455e-07
89674804.69,9.569070102e-07
89678222.66,9.462536322e-07
89681640.62,9.40824494e-07
89685058.59,9.578235134e-07
89688476.56,9.221316309e-07
89691894.53,8.899964361e-07
89695312.5,9.001697837e-07
89698730.47,8.840857336e-07
89702148.44,8.741295396e-07
89705566.41,8.624948634e-07
89708984.38,8.684411082e-07
89712402.34,8.708550899e-07
89715820.31,8.529690162e-07
89719238.28,8.578926857e-07
89722656.25,8.317888637e-07
89726074.22,8.070343152e-07
89729492.19,7.82611634e-07
89732910.16,7.194379998e-07
89736328.12,6.604850406e-07
89739746.09,6.097054213e-07
89743164.06,5.591686518e-07
89746582.03,5.18490616e-07
89750000,4.687797122e-07
89753417.97,4.305666671e-07
89756835.94,3.95163209e-07
89760253.91,3.745779218e-07
89763671.88,3.720204976e-07
89767089.84,3.517106578e-07
89770507.81,3.37951701e-07
89773925.78,3.128085123e-07
89777343.75,2.659598002e-07
89780761.72,2.471665787e-07
89784179.69,2.32261083e-07
89787597.66,2.069429229e-07
89791015.62,1.91881716e-07
89794433.59,1.785492993e-07
89797851.56,1.54307615e-07
89801269.53,1.39900635e-07
89804687.5,1.276638062e-07
89808105.47,1.14717436e-07
89811523.44,1.045418346e-07
89814941.41,9.620007812e-08
89818359.38,9.027392774e-08
89821777.34,8.284648861e-08
89825195.31,7.632658132e-08
89828613.28,7.122465279e-08
89832031.25,6.496957837e-08
89835449.22,5.366181275e-08
89838867.19,5.390338443e-08
89842285.16,5.441410523e-08
89845703.12,4.945166479e-08
89849121.09,4.624680209e-08
89852539.06,4.550982624e-08
89855957.03,4.123029886e-08
89859375,3.686611778e-08
89862792.97,3.783490046e-08
89866210.94,3.659221913e-08
89869628.91,3.525843762e-08
89873046.88,3.684951807e-08
89876464.84,3.419890538e-08
89879882.81,3.375744015e-08
89883300.78,3.472173474e-08
89886718.75,3.603454446e-08
